CODIGO_CARGO,CODIGO_COR_RACA,CODIGO_ESTADO_CIVIL,CODIGO_NACIONALIDADE,CODIGO_SEXO,COD_GRAU_INSTRUCAO,COD_SITUACAO_CANDIDATURA,DESPESA_MAX_CAMPANHA,IDADE_DATA_ELEICAO,NUMERO_PARTIDO,SIGLA_UF,DESCRICAO_CATEGORIA,TAMANHO_NOME,TAMANHO_NOME_URNA,TAMANHO_LEGENDA
6,,3,1,4,8,2,700000.0,40,20,AC,dono,5,2,1
6,,3,1,2,8,2,700000.0,53,15,AC,outros,4,2,1
6,,3,1,2,7,2,1000000.0,33,22,AC,dono,5,2,1
6,,3,1,2,7,2,700000.0,45,45,AC,tecnico,4,3,1
6,,3,1,4,8,2,700000.0,55,45,AC,tecnico,4,2,1
6,,7,1,2,8,2,950000.0,52,13,AC,politico,4,2,1
6,,9,1,2,8,2,700000.0,60,15,AC,politico,5,2,1
6,,3,1,2,8,2,700000.0,50,23,AC,outros,3,2,1
6,,1,1,2,6,2,700000.0,42,45,AC,outros,6,1,1
6,,9,1,2,7,2,700000.0,43,45,AC,empregado,4,2,1
6,,3,1,2,8,2,1000000.0,41,22,AC,outros,5,2,1
6,,1,1,2,8,2,800000.0,36,44,AC,servidor,3,2,1
6,,3,1,2,8,2,200000.0,44,27,AC,outros,4,2,1
6,,3,1,2,8,2,3000000.0,32,11,AC,politico,4,2,1
6,,3,1,2,6,2,200000.0,54,36,AC,tecnico,6,1,1
6,,3,1,2,8,2,800000.0,45,43,AC,politico,4,2,1
6,,3,1,2,8,2,950000.0,43,13,AC,servidor,3,1,1
6,,3,1,2,6,2,500000.0,36,12,AC,outros,3,2,1
6,,3,1,2,4,2,700000.0,57,45,AC,outros,4,1,1
6,,3,1,2,8,2,950000.0,31,13,AC,qualificado,4,3,1
6,,3,1,2,4,2,700000.0,54,25,AC,precario,4,3,1
6,,3,1,2,6,2,700000.0,47,45,AC,dono,3,2,1
6,,3,1,2,8,2,800000.0,42,43,AC,servidor,4,2,1
6,,1,1,4,7,2,700000.0,67,23,AC,servidor,4,2,1
6,,3,1,4,7,2,500000.0,45,65,AC,politico,4,2,1
6,,3,1,4,8,2,800000.0,65,14,AC,outros,6,2,1
6,,1,1,4,8,2,950000.0,66,13,AC,empregado,3,1,1
6,,3,1,2,6,2,700000.0,50,23,AC,outros,3,2,1
6,,1,1,2,6,2,700000.0,37,20,AC,tecnico,5,2,1
6,,3,1,2,8,2,700000.0,40,45,AC,qualificado,4,2,1
6,,1,1,2,8,2,950000.0,52,13,AC,academico,4,2,1
6,,3,1,2,8,2,800000.0,44,44,AC,outros,4,2,1
6,,3,1,4,8,2,700000.0,48,33,AC,outros,4,2,1
6,,1,1,4,6,2,700000.0,31,33,AC,politico,5,2,1
6,,3,1,2,8,2,950000.0,53,13,AC,politico,3,1,1
6,,3,1,2,6,2,700000.0,38,20,AC,outros,3,2,1
6,,3,1,2,7,2,800000.0,30,10,AC,outros,4,3,1
7,,3,1,2,4,2,5600000.0,43,27,AC,outros,4,1,1
7,,1,1,2,6,2,600000.0,31,43,AC,tecnico,4,2,1
7,,9,1,2,4,2,300000.0,58,65,AC,politico,4,3,1
7,,3,1,2,8,2,200000.0,49,40,AC,servidor,4,1,1
7,,3,1,2,6,2,5600000.0,26,27,AC,outros,4,1,1
7,,3,1,2,8,2,200000.0,32,40,AC,qualificado,4,2,1
7,,3,1,2,6,2,600000.0,68,14,AC,empregado,5,2,1
7,,9,1,4,4,2,300000.0,40,45,AC,dono,4,2,1
7,,3,1,2,8,2,400000.0,34,11,AC,gerente,3,2,1
7,,9,1,2,5,2,300000.0,42,45,AC,politico,4,2,1
7,,3,1,4,6,2,300000.0,39,28,AC,outros,4,1,1
7,,3,1,4,7,2,300000.0,36,28,AC,outros,6,2,1
7,,3,1,2,7,2,300000.0,35,33,AC,qualificado,6,4,1
7,,1,1,2,8,2,450000.0,32,13,AC,qualificado,6,2,1
7,,9,1,2,8,2,600000.0,54,43,AC,academico,3,2,1
7,,1,1,4,8,2,4000000.0,28,36,AC,batalhador,5,2,1
7,,3,1,4,4,2,300000.0,49,45,AC,servidor,5,2,1
7,,5,1,4,6,2,400000.0,44,11,AC,batalhador,5,2,1
7,,3,2,4,8,2,250000.0,56,15,AC,politico,3,2,1
7,,3,1,2,6,2,5600000.0,44,27,AC,batalhador,4,2,1
7,,3,1,2,7,2,300000.0,53,25,AC,qualificado,4,2,1
7,,1,1,2,6,2,300000.0,39,28,AC,outros,5,2,1
7,,1,1,2,4,2,200000.0,36,40,AC,outros,5,2,1
7,,3,1,2,6,2,200000.0,57,40,AC,politico,4,2,1
7,,3,1,2,8,2,5600000.0,48,27,AC,gerente,4,1,1
7,,3,1,2,8,2,600000.0,44,43,AC,dono,4,2,1
7,,3,1,2,4,2,300000.0,37,33,AC,batalhador,4,1,1
7,,1,1,2,6,2,300000.0,41,45,AC,tecnico,4,3,1
7,,3,1,2,4,2,300000.0,38,33,AC,batalhador,5,2,1
7,,1,1,2,8,2,300000.0,41,65,AC,gerente,5,3,1
7,,3,1,2,6,2,125000.0,37,19,AC,dono,5,3,1
7,,3,1,2,4,2,5600000.0,60,27,AC,outros,3,3,1
7,,1,1,2,3,2,300000.0,43,45,AC,outros,4,3,1
7,,3,1,2,4,2,300000.0,29,23,AC,batalhador,5,1,1
7,,3,1,2,8,2,300000.0,42,65,AC,tecnico,5,2,1
7,,1,1,2,8,2,300000.0,30,33,AC,tecnico,5,2,1
7,,3,1,2,8,2,200000.0,42,40,AC,servidor,2,1,1
7,,1,1,2,6,2,600000.0,33,43,AC,tecnico,3,2,1
7,,1,1,2,3,2,300000.0,70,45,AC,batalhador,3,1,1
7,,3,1,2,8,2,5600000.0,42,27,AC,outros,4,1,1
7,,3,1,2,6,2,300000.0,36,33,AC,gerente,6,2,1
7,,1,1,4,8,2,300000.0,38,65,AC,politico,4,2,1
7,,1,1,2,8,2,300000.0,45,28,AC,servidor,3,2,1
7,,3,1,2,6,2,600000.0,49,44,AC,politico,5,2,1
7,,3,1,4,6,2,300000.0,31,28,AC,outros,4,2,1
7,,1,1,2,6,2,200000.0,64,40,AC,tecnico,4,1,1
7,,3,1,2,8,2,300000.0,42,23,AC,academico,3,2,1
7,,3,1,4,8,2,400000.0,46,11,AC,tecnico,7,1,1
7,,3,1,2,6,2,300000.0,54,23,AC,outros,5,3,1
7,,3,1,2,6,2,300000.0,48,28,AC,outros,4,1,1
7,,1,1,2,8,2,450000.0,69,13,AC,servidor,4,1,1
7,,9,1,2,8,2,300000.0,50,65,AC,gerente,4,2,1
7,,1,1,2,6,2,600000.0,33,14,AC,batalhador,3,2,1
7,,3,1,4,7,2,450000.0,40,13,AC,outros,6,2,1
7,,1,1,2,6,2,200000.0,32,40,AC,empregado,4,2,1
7,,3,1,2,8,2,400000.0,46,11,AC,qualificado,2,3,1
7,,1,1,2,8,2,200000.0,36,40,AC,servidor,4,2,1
7,,3,1,2,6,2,400000.0,52,11,AC,politico,3,2,1
7,,3,1,2,8,2,300000.0,41,65,AC,dono,4,2,1
7,,1,1,4,5,2,300000.0,24,28,AC,outros,2,2,1
7,,1,1,2,7,2,200000.0,34,40,AC,tecnico,3,2,1
7,,3,1,4,4,2,300000.0,35,23,AC,precario,4,2,1
7,,3,1,2,8,2,400000.0,51,11,AC,outros,4,2,1
7,,3,1,2,8,2,400000.0,34,11,AC,artista,4,2,1
7,,3,1,2,8,2,300000.0,38,28,AC,outros,4,2,1
7,,3,1,2,8,2,300000.0,45,20,AC,religioso,4,2,1
7,,3,1,2,6,2,200000.0,37,40,AC,servidor,6,2,1
7,,1,1,2,7,2,450000.0,29,13,AC,outros,4,2,1
7,,1,1,2,8,2,600000.0,40,43,AC,servidor,3,1,1
7,,3,1,2,8,2,300000.0,67,45,AC,politico,4,3,1
7,,3,1,2,8,2,5600000.0,39,27,AC,gerente,3,2,1
7,,3,1,2,6,2,400000.0,30,11,AC,outros,5,2,1
7,,3,1,2,8,2,4000000.0,60,36,AC,academico,5,2,1
7,,1,1,2,6,2,5600000.0,35,27,AC,batalhador,4,1,1
7,,3,1,2,6,2,300000.0,42,23,AC,artista,4,2,1
7,,3,1,2,8,2,5600000.0,51,27,AC,qualificado,5,2,1
7,,3,1,2,8,2,300000.0,32,65,AC,academico,3,2,1
7,,1,1,4,8,2,300000.0,56,23,AC,academico,3,1,1
7,,3,1,4,8,2,4000000.0,40,36,AC,academico,3,2,1
7,,3,1,2,8,2,300000.0,49,65,AC,politico,3,2,1
7,,3,1,4,6,2,200000.0,31,40,AC,outros,6,2,1
7,,3,1,2,6,2,600000.0,53,44,AC,politico,4,2,1
7,,1,1,2,6,2,200000.0,38,40,AC,servidor,3,2,1
7,,3,1,2,8,2,600000.0,53,14,AC,tecnico,4,2,1
7,,3,1,2,8,2,400000.0,45,11,AC,tecnico,4,2,1
7,,1,1,2,3,2,600000.0,47,10,AC,batalhador,5,2,1
7,,1,1,2,8,2,450000.0,44,13,AC,qualificado,4,2,1
7,,9,1,2,8,2,250000.0,47,15,AC,gerente,3,3,1
7,,1,1,4,6,2,300000.0,34,45,AC,dono,3,2,1
7,,3,1,2,8,2,600000.0,52,44,AC,servidor,4,1,1
7,,3,1,2,6,2,250000.0,45,15,AC,politico,5,1,1
7,,3,1,2,8,2,300000.0,46,23,AC,qualificado,3,3,1
7,,3,1,2,4,2,200000.0,34,40,AC,academico,4,2,1
7,,3,1,4,8,2,300000.0,51,65,AC,tecnico,4,1,1
7,,1,1,2,7,2,600000.0,25,43,AC,outros,4,2,1
7,,1,1,4,8,2,300000.0,45,23,AC,tecnico,5,2,1
7,,1,1,2,6,2,5600000.0,44,27,AC,outros,6,1,1
7,,1,1,2,6,2,300000.0,65,28,AC,outros,4,1,1
7,,3,1,2,3,2,600000.0,29,44,AC,outros,6,2,1
7,,3,1,2,6,2,600000.0,52,14,AC,batalhador,4,2,1
7,,1,1,2,3,2,250000.0,59,15,AC,batalhador,4,2,1
7,,1,1,2,3,2,5600000.0,45,27,AC,gerente,3,1,1
7,,3,1,2,5,2,600000.0,47,44,AC,servidor,5,2,1
7,,3,1,2,2,2,300000.0,48,50,AC,outros,4,1,1
7,,3,1,2,6,2,250000.0,50,15,AC,batalhador,6,1,1
7,,3,1,2,3,2,250000.0,60,15,AC,politico,4,2,1
7,,3,1,2,8,2,600000.0,48,14,AC,tecnico,4,2,1
7,,3,1,2,8,2,250000.0,48,15,AC,outros,6,2,1
7,,3,1,2,8,2,450000.0,45,13,AC,politico,4,2,1
7,,3,1,2,8,2,300000.0,48,65,AC,qualificado,5,3,1
7,,1,1,2,4,2,5600000.0,30,27,AC,outros,5,2,1
7,,3,1,2,8,2,300000.0,38,23,AC,gerente,5,2,1
7,,1,1,2,6,2,200000.0,53,40,AC,batalhador,4,2,1
7,,1,1,2,8,2,250000.0,27,15,AC,outros,4,2,1
7,,1,1,2,4,2,125000.0,42,19,AC,precario,3,1,1
7,,3,1,2,8,2,600000.0,40,44,AC,servidor,4,2,1
