CODIGO_CARGO,CODIGO_ESTADO_CIVIL,CODIGO_NACIONALIDADE,CODIGO_SEXO,COD_GRAU_INSTRUCAO,COD_SITUACAO_CANDIDATURA,DESPESA_MAX_CAMPANHA,IDADE_DATA_ELEICAO,NUMERO_PARTIDO,SIGLA_UF,DESCRICAO_CATEGORIA,TAMANHO_NOME,TAMANHO_NOME_URNA,NUM_ELEICOES_ANTERIORES,TOTAL_VOTOS_ANTERIORES,TOTAL_VOTOS
6,3,1,4,8,2,700000.0,40.0,20,AC,dono,5,2,1,10177.0,15849.0
6,3,1,2,8,2,700000.0,53.0,15,AC,outros,4,2,1,2335.0,4620.0
6,3,1,2,7,2,1000000.0,33.0,22,AC,dono,5,2,1,13801.0,149.0
6,3,1,2,7,2,700000.0,45.0,45,AC,tecnico,4,3,1,109.0,312.0
6,3,1,4,8,2,700000.0,55.0,45,AC,tecnico,4,2,0,0.0,1357.0
6,7,1,2,8,2,950000.0,52.0,13,AC,politico,4,2,1,18385.0,11018.0
6,9,1,2,8,2,700000.0,60.0,15,AC,politico,5,2,1,16951.0,36301.0
6,3,1,2,8,2,700000.0,50.0,23,AC,outros,3,2,2,3234.0,3378.0
6,1,1,2,6,2,700000.0,42.0,45,AC,outros,6,1,0,0.0,3377.0
6,9,1,2,7,2,700000.0,43.0,45,AC,empregado,4,2,0,0.0,1082.0
6,3,1,2,8,2,1000000.0,41.0,22,AC,outros,5,2,0,0.0,2049.0
6,1,1,2,8,2,800000.0,36.0,44,AC,servidor,3,2,0,0.0,2944.0
6,3,1,2,8,2,200000.0,44.0,27,AC,outros,4,2,3,672.0,707.0
6,3,1,2,8,2,3000000.0,32.0,11,AC,politico,4,2,1,18886.0,32623.0
6,3,1,2,6,2,200000.0,54.0,36,AC,tecnico,6,1,2,1522.0,526.0
6,3,1,2,8,2,800000.0,45.0,43,AC,politico,4,2,1,14785.0,20306.0
6,3,1,2,8,2,950000.0,43.0,13,AC,servidor,3,1,0,0.0,6481.0
6,3,1,2,6,2,500000.0,36.0,12,AC,outros,3,2,1,465.0,2405.0
6,3,1,2,4,2,700000.0,57.0,45,AC,outros,4,1,0,0.0,943.0
6,3,1,2,8,2,950000.0,31.0,13,AC,qualificado,4,3,1,2674.0,13826.0
6,3,1,2,4,2,700000.0,54.0,25,AC,precario,4,3,2,514.0,1081.0
