PROFISSAO;CATEGORIA
GEOGRAFO;academico
PEDAGOGO;academico
HISTORIADOR;academico
CIENTISTA POLITICO;academico
ECONOMISTA;academico
AGRONOMO;academico
BIOLOGO E BIOMEDICO;academico
QUIMICO;academico
SOCIOLOGO;academico
GEOLOGO;academico
MATEMATICO E ATUARIO;academico
FISICO;academico
GEOFISICO;academico
ANTROPOLOGO;academico
BIÓLOGO;academico
AGRÔNOMO;academico
GEÓLOGO;academico
BIOMÉDICO;academico
SOCIÓLOGO;academico
QUÍMICO;academico
GEÓGRAFO;academico
MATEMÁTICO E ATUÁRIO;academico
CIENTISTA POLÍTICO;academico
FÍSICO;academico
ASTRÔNOMO;academico
OCEANÓGRAFO;academico
ARQUEÓLOGO;academico
ANTROPÓLOGO;academico
GEOFÍSICO;academico
ATOR E DIRETOR DE ESPETACULOS PUBLICOS;artista
MUSICO;artista
ARTESAO;artista
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;artista
CANTOR E COMPOSITOR;artista
DESENHISTA;artista
ESCULTOR, PINTOR, ARTISTA PLASTICO E ASSEMELHADOS;artista
FOTOGRAFO E TRABALHADOR ASSEMELHADO;artista
ARTISTA DE CIRCO;artista
ESCRITOR E CRITICO;artista
COREOGRAFO E BAILARINO;artista
LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;artista
ARTESÃO;artista
ARTISTA PLÁSTICO E ASSEMELHADOS;artista
MÚSICO;artista
ESCULTOR E PINTOR;artista
FOTÓGRAFO E ASSEMELHADOS;artista
ESCRITOR E CRÍTICO;artista
ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS;artista
COREÓGRAFO E BAILARINO;artista
AGRICULTOR;batalhador
DONA DE CASA;batalhador
TAXISTA E MOTORISTA PARTICULAR;batalhador
COMERCIANTE;batalhador
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;batalhador
SERRALHEIRO;batalhador
GOVERNANTA;batalhador
GARCOM;batalhador
BOMBEIRO E INSTALADOR DE GAS, AGUA, ESGOTO E ASSEMELHADOS;batalhador
ATLETA PROFISSIONAL E TECNICO EM DESPORTOS;batalhador
ELETRICISTA E ASSEMELHADOS;batalhador
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;batalhador
ALFAIATE E COSTUREIRO;batalhador
FEIRANTE, AMBULANTE E MASCATE;batalhador
AGENTE DE VIAGEM E GUIA DE TURISMO;batalhador
TAPECEIRO;batalhador
CHAVEIRO;batalhador
MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS;batalhador
SECURITARIO;batalhador
DESPACHANTE;batalhador
DETETIVE PARTICULAR;batalhador
ESTOFADOR;batalhador
LEILOEIRO, AVALIADOR E ASSEMELHADOS;batalhador
MESTRE E CONTRAMESTRE DE EMBARCACAO;batalhador
FUNILEIRO;batalhador
DECORADOR;batalhador
CHAPELEIRO;batalhador
JORNALEIRO;batalhador
LAVANDEIRO, TINTUREIRO E TRABALHADOR ASSEMELHADO;batalhador
AGENCIADOR DE PROPAGANDA;batalhador
JOALHEIROS E OURIVES;batalhador
FIANDEIRO, TECELAO, TINGIDOR E TRABALHADOR ASSEMELHADO;batalhador
AGENTE DE SERVICOS FUNERARIOS E EMBALSAMADOR;batalhador
MODELO;batalhador
ASTROLOGO;batalhador
MECÂNICO DE MANUTENÇÃO;batalhador
CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;batalhador
CARPINTEIRO, MARCENEIRO E ASSEMELHADOS;batalhador
CABELEIREIRO E BARBEIRO;batalhador
COMERCIÁRIO;batalhador
PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;batalhador
TAXISTA;batalhador
GUIA DE TURISMO;batalhador
ESTETICISTA;batalhador
SECURITÁRIO;batalhador
ENCANADOR, SOLDADOR, CHAPEADOR E CALDEIREIRO;batalhador
GARÇOM;batalhador
LANTERNEIRO E PINTOR DE VEÍCULOS;batalhador
AGENTE DE VIAGEM;batalhador
FIANDEIRO, TECELÃO, TINGIDOR E ASSEMELHADOS;batalhador
RELOJOEIRO E MONTADOR DE INSTRUMENTO DE PRECISÃO;batalhador
BOMBEIRO E INSTALADOR DE GÁS, ÁGUA, ESGOTO E ASSEMELHADOS;batalhador
ASTRÓLOGO;batalhador
MANICURE E MAQUILADOR;batalhador
ATLETA PROFISSIONAL E TÉCNICO EM DESPORTOS;batalhador
JOALHEIRO E OURIVES;batalhador
MASSAGISTA;batalhador
LAVANDEIRO, TINTUREIRO E ASSEMELHADOS;batalhador
MESTRE E CONTRAMESTRE DE EMBARCAÇÃO;batalhador
MONTADOR DE ESTRUTURA METÁLICA;batalhador
AGENTE DE SERVIÇOS FUNERÁRIOS E EMBALSAMADOR;batalhador
EMPRESARIO;dono
PECUARISTA;dono
PRODUTOR AGROPECUARIO;dono
EMPRESARIO E PRODUTOR DE ESPETACULOS PUBLICOS;dono
INDUSTRIAL;dono
CAPITALISTA DE ATIVOS FINANCEIROS;dono
EMPRESÁRIO;dono
PRODUTOR AGROPECUÁRIO;dono
VENDEDOR DE COMERCIO VAREJISTA E ATACADISTA;empregado
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;empregado
REPRESENTANTE COMERCIAL;empregado
TRABALHADOR DE HOTELARIA;empregado
COMERCIARIO;empregado
SECRETARIO,ESTENOGRAFO,DATILOGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUIGRAF;empregado
COZINHEIRO;empregado
LANTERNEIRO E PINTOR DE VEICULOS;empregado
TRABALHADOR DE FABRICACAO DE ARTEFATOS DE MADEIRA;empregado
PADEIRO, CONFEITEIRO E TRABALHADOR ASSEMELHADO;empregado
ATENDENTE DE LANCHONETE E RESTAURANTE;empregado
TORNEIRO MECANICO;empregado
ENCANADOR,SOLDADOR,CHAPEADOR,CALDEIREIRO,MONTADOR DE ESTRUTURA METALIC;empregado
OPERADOR DE APARELHOS DE PRODUCAO INDUSTRIAL;empregado
TRABALHADOR METALURGICO E SIDERURGICO;empregado
MONTADOR DE MAQUINAS;empregado
ALMOXARIFE;empregado
TRABALHADOR DE FABRICACAO E PREPARACAO DE ALIMENTOS E BEBIDAS;empregado
TRABALHADOR DE USINAGEM DE METAIS;empregado
TRABALHADOR DE FABRICACAO DE PRODUTOS DE BORRACHA E PLASTICO;empregado
TRABALHADOR DE FABRICACAO DE CALCADOS E ARTEFATOS DE COURO;empregado
TRABALHADOR DE FABRICACAO DE PRODUTOS TEXTEIS (EXCETO ROUPAS);empregado
MAQUINISTA E FOGUISTA DE EMBARCACOES E ASSEMELHADOS;empregado
TRABALHADOR DE FABRICACAO, VULCANIZACAO E REPARACAO DE PNEUMATICOS;empregado
CORTADOR, POLIDOR E GRAVADOR DE PEDRAS;empregado
TRABALHADOR DE FABRICACAO DE PAPEL E PAPELAO;empregado
TORNEIRO MECÂNICO;empregado
AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;empregado
MAQUINISTA E FOGUISTA DE EMBARCAÇÕES E ASSEMELHADOS;empregado
VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;empregado
OPERADOR DE APARELHOS DE PRODUÇÃO INDUSTRIAL;empregado
TRABALHADOR METALÚRGICO E SIDERÚRGICO;empregado
TRABALHADOR DE FABRICAÇÃO DE ROUPAS;empregado
RECEPCIONISTA;empregado
TRABALHADOR DE FABRICAÇÃO DE PRODUTOS TÊXTEIS (EXCETO ROUPAS);empregado
MONTADOR DE MÁQUINAS;empregado
TELEFONISTA;empregado
COMISSÁRIO DE BORDO;empregado
TRABALHADOR EM ATIVIDADE DE PROCESSAMENTO QUÍMICO;empregado
OFFICE-BOY E CONTÍNUO;empregado
PADEIRO, CONFEITEIRO E ASSEMELHADOS;empregado
TAQUÍGRAFO E ESTENÓGRAFO;empregado
TRABALHADOR DE FABRICAÇÃO, VULCANIZAÇÃO E REPARAÇÃO DE PNEUMÁTICOS;empregado
TRABALHADOR DE FABRICAÇÃO DE PRODUTOS DE BORRACHA E PLÁSTICO;empregado
